well,analyte,scope,min_detected,min_detected_date,max_detected,max_detected_date,max_reporting_limit_nondetect,max_reporting_limit_date,n_samples_analyzed,n_nondetect,n_detect,unit,regulatory_limit,limit_type,exceedance_ratio_at_max,source_document,source_table,source_pages
MW-6,nitrate_as_n,per_well_all_dates,12.0,6/14/2006,23.0,6/6/2013,,,16,0,16,mg/L,10.0,MCL (health-based),2.3,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-7,arsenic,per_well_all_dates,1.4,9/5/2013,4.0,3/18/2013,5.0,3/12/2012,20,2,18,ug/L,10.0,MCL,0.4,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-7,barium,per_well_all_dates,63.0,5/17/2012,150.0,3/18/2013,,,20,0,20,ug/L,1000.0,MCL,0.15,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-7,lead,per_well_all_dates,2.5,3/18/2013,2.5,3/18/2013,6.3,4/11/2018,20,19,1,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.167,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-7,manganese,per_well_all_dates,1.1,10/4/2006,260.0,3/18/2013,50.0,3/12/2012,20,15,5,ug/L,50.0,Secondary MCL,5.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-7,strontium,per_well_all_dates,590.0,5/17/2012,1100.0,5/2/2016,,,18,0,18,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.275,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-7,nitrate_as_n,per_well_all_dates,2.5,5/17/2012,8.7,5/2/2016,,,20,0,20,mg/L,10.0,MCL (health-based),0.87,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-8,arsenic,per_well_all_dates,2.5,9/5/2013,4.2,1/23/2013,5.0,3/12/2012,16,2,14,ug/L,10.0,MCL,0.42,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-8,barium,per_well_all_dates,39.0,3/12/2012,130.0,4/11/2018,,,16,0,16,ug/L,1000.0,MCL,0.13,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-8,lead,per_well_all_dates,0.76,4/11/2018,0.76,4/11/2018,5.0,3/12/2012,16,15,1,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.051,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-8,manganese,per_well_all_dates,1.0,10/4/2006,410.0,4/11/2018,50.0,3/12/2012,16,8,8,ug/L,50.0,Secondary MCL,8.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-8,strontium,per_well_all_dates,180.0,3/12/2012,450.0,11/29/2012,,,14,0,14,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.113,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-8,nitrate_as_n,per_well_all_dates,3.6,1/23/2013,11.0,11/29/2012,,,16,0,16,mg/L,10.0,MCL (health-based),1.1,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-9,arsenic,per_well_all_dates,1.8,6/4/2014,3.3,2/26/2014,,,12,0,12,ug/L,10.0,MCL,0.33,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-9,barium,per_well_all_dates,51.0,7/17/2012,180.0,2/28/2020,,,13,0,13,ug/L,1000.0,MCL,0.18,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-9,lead,per_well_all_dates,,,,,1.0,6/20/2012,12,12,0,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-9,manganese,per_well_all_dates,3.0,4/11/2018,73.0,9/19/2012,20.0,1/22/2013,12,8,4,ug/L,50.0,Secondary MCL,1.46,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-9,strontium,per_well_all_dates,690.0,9/5/2013,1100.0,2/28/2020,,,13,0,13,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.275,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-9,nitrate_as_n,per_well_all_dates,7.0,9/5/2013,13.0,6/20/2012,,,12,0,12,mg/L,10.0,MCL (health-based),1.3,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
