# Part 1: min/max computed from RAW DETECTIONS ONLY (value_type == 'detection'), grouped by (location, analyte), from the SSI Report raw CSV.
location,analyte,min_detected_mgkg,min_sample_id,min_depth_ft,max_detected_mgkg,max_sample_id,max_depth_ft,n_detections_contributing,regulatory_limit_mgkg,limit_type,exceedance_ratio_at_max,extreme_deep_barium_flag,source_document
Stockpile 2 - SOUTH SIDE,Lead,1.2,FB19-4.0,4.0,26.0,FB18-0.0,0.0,24,1000,TTLC,0.026,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Lead,1.2,FB19-4.0,4.0,26.0,FB18-0.0,0.0,24,250,10x STLC,0.104,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Lead,1.2,FB19-4.0,4.0,26.0,FB18-0.0,0.0,24,320,CHHSL (industrial),0.0813,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Lead,1.2,FB19-4.0,4.0,26.0,FB18-0.0,0.0,24,80,CHHSL (residential),0.325,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Strontium,17.0,FB29-4.0,4.0,270.0,FB18-2.0,2.0,24,610000,CHHSL (industrial),0.0004,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Strontium,17.0,FB29-4.0,4.0,270.0,FB18-2.0,2.0,24,47000,CHHSL (residential) / USEPA RSL,0.0057,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - South Side East End,Barium,76.0,PB14-0.0,0.0,790.0,PB15-0.0,0.0,4,10000,TTLC,0.079,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - South Side East End,Barium,76.0,PB14-0.0,0.0,790.0,PB15-0.0,0.0,4,1000,10x STLC,0.79,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - South Side East End,Barium,76.0,PB14-0.0,0.0,790.0,PB15-0.0,0.0,4,63000,CHHSL (industrial),0.0125,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - South Side East End,Barium,76.0,PB14-0.0,0.0,790.0,PB15-0.0,0.0,4,5200,CHHSL (residential),0.1519,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - West End,Barium,190.0,PB10-0.0,0.0,280.0,PB11-0.0,0.0,2,10000,TTLC,0.028,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - West End,Barium,190.0,PB10-0.0,0.0,280.0,PB11-0.0,0.0,2,1000,10x STLC,0.28,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - West End,Barium,190.0,PB10-0.0,0.0,280.0,PB11-0.0,0.0,2,63000,CHHSL (industrial),0.0044,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - West End,Barium,190.0,PB10-0.0,0.0,280.0,PB11-0.0,0.0,2,5200,CHHSL (residential),0.0538,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3,Barium,68.0,CB4-14.0,14.0,87000.0,CB5-6.0,6.0,9,10000,TTLC,8.7,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3,Barium,68.0,CB4-14.0,14.0,87000.0,CB5-6.0,6.0,9,1000,10x STLC,87.0,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3,Barium,68.0,CB4-14.0,14.0,87000.0,CB5-6.0,6.0,9,63000,CHHSL (industrial),1.381,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3,Barium,68.0,CB4-14.0,14.0,87000.0,CB5-6.0,6.0,9,5200,CHHSL (residential),16.7308,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Arsenic,0.25,FB30-4.0,4.0,2.1,FB32-0.0,0.0,11,500,TTLC,0.0042,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Arsenic,0.25,FB30-4.0,4.0,2.1,FB32-0.0,0.0,11,50,10x STLC,0.042,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Arsenic,0.25,FB30-4.0,4.0,2.1,FB32-0.0,0.0,11,0.24,CHHSL (industrial),8.75,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Arsenic,0.25,FB30-4.0,4.0,2.1,FB32-0.0,0.0,11,0.07,CHHSL (residential),30.0,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Barium,42.0,FB35-4.0,4.0,910.0,FB32-0.0,0.0,11,10000,TTLC,0.091,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Barium,42.0,FB35-4.0,4.0,910.0,FB32-0.0,0.0,11,1000,10x STLC,0.91,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Barium,42.0,FB35-4.0,4.0,910.0,FB32-0.0,0.0,11,63000,CHHSL (industrial),0.0144,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Barium,42.0,FB35-4.0,4.0,910.0,FB32-0.0,0.0,11,5200,CHHSL (residential),0.175,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Lead,1.3,FB34-3.0,3.0,34.0,FB31-0.0,0.0,11,1000,TTLC,0.034,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Lead,1.3,FB34-3.0,3.0,34.0,FB31-0.0,0.0,11,250,10x STLC,0.136,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Lead,1.3,FB34-3.0,3.0,34.0,FB31-0.0,0.0,11,320,CHHSL (industrial),0.1062,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Lead,1.3,FB34-3.0,3.0,34.0,FB31-0.0,0.0,11,80,CHHSL (residential),0.425,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Strontium,0.5,FB32-0.0,0.0,100.0,FB31-0.0,0.0,11,610000,CHHSL (industrial),0.0002,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - NORTH AND NORTHEAST SIDE,Strontium,0.5,FB32-0.0,0.0,100.0,FB31-0.0,0.0,11,47000,CHHSL (residential) / USEPA RSL,0.0021,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - Southwest Side and South End,Barium,130.0,PB28-0.0,0.0,1600.0,PB23-0.0,0.0,10,10000,TTLC,0.16,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - Southwest Side and South End,Barium,130.0,PB28-0.0,0.0,1600.0,PB23-0.0,0.0,10,1000,10x STLC,1.6,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - Southwest Side and South End,Barium,130.0,PB28-0.0,0.0,1600.0,PB23-0.0,0.0,10,63000,CHHSL (industrial),0.0254,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 3 - Southwest Side and South End,Barium,130.0,PB28-0.0,0.0,1600.0,PB23-0.0,0.0,10,5200,CHHSL (residential),0.3077,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf

# Part 2: ALL individual Cadmium Boring barium detections >= 50,000 mg/kg (not just the single max) -- multiple deep extreme values exist under Stockpile 2 (CB1, CB2, CB3) and Stockpile 3 (CB5), not a single outlier.
sample_id,location,depth_ft,value_mgkg,notes
CB2-11.0,Stockpile 2,11.0,130000.0,"SSI Report Table 3 (Barium and Cadmium), PDF pp.39-41; Cadmium Borings analyzed for barium/cadmium only, not full Title 22 panel (Arsenic/Lead/Strontium not analyzed for this boring set) -- EXTREME DEEP VALUE, re-verified against page image (QA)"
