location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
BG2,total_dissolved_solids,mg/L,9,9,0,21.0,12/12/2014,240.0,1/30/2014,,,,500.0,secondary MCL,0.48,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,total_suspended_solids,mg/L,12,12,0,46.0,3/17/2020,670.0,12/2/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,vanadium,ug/L,12,8,4,0.72,12/4/2019,5.2,3/17/2020,,7.2,10/28/2016,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,zinc,ug/L,12,12,0,28.0,12/12/2014,230.0,1/8/2018,,,,5000.0,secondary MCL,0.046,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,antimony,ug/L,1,0,1,,,,,,8.8,3/10/2023,6.0,primary MCL,,,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,arsenic,ug/L,1,1,0,8.0,3/10/2023,8.0,3/10/2023,J,,,10.0,primary MCL,0.8,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,barium,ug/L,1,1,0,17.0,3/10/2023,17.0,3/10/2023,,,,1000.0,primary MCL,0.017,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,beryllium,ug/L,1,0,1,,,,,,1.6,3/10/2023,4.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,cadmium,ug/L,1,0,1,,,,,,3.0,3/10/2023,5.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,chromium,ug/L,1,0,1,,,,,,2.0,3/10/2023,50.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,cobalt,ug/L,1,0,1,,,,,,1.6,3/10/2023,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,copper,ug/L,1,1,0,14.0,3/10/2023,14.0,3/10/2023,J+,,,1300.0,primary MCL,0.011,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,lead,ug/L,1,0,1,,,,,,4.7,3/10/2023,15.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,mercury,ug/L,1,1,0,0.06,3/10/2023,0.06,3/10/2023,J,,,2.0,primary MCL,0.03,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,molybdenum,ug/L,1,1,0,13.0,3/10/2023,13.0,3/10/2023,J+,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,nickel,ug/L,1,0,1,,,,,,4.6,3/10/2023,100.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,nitrate_as_n,mg/L,1,1,0,0.12,3/10/2023,0.12,3/10/2023,J,,,10.0,primary MCL,0.012,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,selenium,ug/L,1,1,0,12.0,3/10/2023,12.0,3/10/2023,,,,50.0,primary MCL,0.24,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,silver,ug/L,1,0,1,,,,,,2.4,3/10/2023,100.0,secondary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,strontium,ug/L,1,1,0,63.0,3/10/2023,63.0,3/10/2023,J,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,sulfide,mg/L,1,0,1,,,,,,0.01,3/10/2023,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,thallium,ug/L,1,0,1,,,,,,8.5,3/10/2023,2.0,primary MCL,,,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,total_suspended_solids,mg/L,1,1,0,5.3,3/10/2023,5.3,3/10/2023,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,vanadium,ug/L,1,1,0,13.0,3/10/2023,13.0,3/10/2023,J+,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG3,zinc,ug/L,1,0,1,,,,,,25.0,3/10/2023,5000.0,secondary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,alkalinity_bicarbonate,mg/L,13,13,0,12.0,10/28/2016,93.0,3/24/2017,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,alkalinity_carbonate,mg/L,13,0,13,,,,,,5.0,1/30/2014,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,alkalinity_total,mg/L,13,13,0,12.0,10/28/2016,93.0,3/24/2017,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,antimony,ug/L,16,15,1,0.53,2/28/2014,2.4,3/24/2017,,0.5,12/2/2014,6.0,primary MCL,0.4,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,arsenic,ug/L,16,7,9,1.0,2/6/2014,1.6,3/17/2020,,2.0,3/22/2018,10.0,primary MCL,0.16,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,barium,ug/L,16,16,0,7.8,10/28/2016,1600.0,3/17/2020,,,,1000.0,primary MCL,1.6,yes,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,beryllium,ug/L,16,0,16,,,,,,5.0,12/11/2015,4.0,primary MCL,,,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,cadmium,ug/L,16,1,15,0.68,3/17/2020,0.68,3/17/2020,,0.72,3/22/2018,5.0,primary MCL,0.136,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,calcium,mg/L,13,13,0,1.7,10/28/2016,35.0,3/24/2017,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
PL1,chloride,mg/L,13,13,0,0.35,10/28/2016,6.3,12/11/2015,,,,250.0,secondary MCL,0.025,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
