well,date,is_duplicate,is_dry_or_no_sample,arsenic_ugl,barium_ugl,lead_ugl,manganese_ugl,strontium_ugl,nitrate_mgl,notes
MW-3,9/16/2014,false,true,,,,,,,No sample collected due to insufficient water in well
MW-3,4/30/2015,false,true,,,,,,,No sample collected due to insufficient water in well
MW-3,5/2/2016,false,true,,,,,,,No sample collected due to insufficient water in well
MW-3,4/12/2017,false,false,4.8,33,<0.10,1.3,190,2.6,
MW-3,4/12/2018,false,false,2.7,61,<6.3,11,420,2.1,
MW-3,4/9/2019,false,false,<4.9,49,<3.6,<32,330,2.3,
MW-3,,false,false,,,,,,,well decommissioned per table (no date given for decommission row)
MW-4,6/13/2006,false,false,1.8,130,<1.0,62,---,3.5,
MW-4,10/4/2006,false,false,9.9,100,<1.0,4.1,---,3.5,
MW-4,3/12/2012,false,false,<5.0,160,<5.0,88,840,9.5,
MW-4,3/12/2012 S,true,false,1.4,134,EXCLUDED_LABERR,0.7,812,9.59,footnote 2 on Pb cell = laboratory error in sample prep; duplicate of 3/12/2012
MW-4,5/17/2012,false,false,2.1,160,<1.0,<10,960,10,
MW-4,7/16/2012,false,false,6.6,110,<1.0,<10,850,8.2,
MW-4,9/19/2012,false,false,2.2,140,<1.0,<10,980,8.2,
MW-4,11/28/2012,false,false,2.1,140,<1.0,11,920,8.9,
MW-4,1/22/2013,false,false,1.8,100,<1.0,<10,850,7.2,
MW-4,3/18/2013,false,false,2.0,110,<1.0,<10,780,7.1,
MW-4,6/5/2013,false,false,2.0,120,<1.0,<10,900,7.1,
MW-4,9/4/2013,false,false,2.7,140,<1.0,<10,890,10,
MW-4,12/11/2013,false,false,1.8,110,<1.0,<10,830,9.6,
MW-4,2/25/2014,false,false,1.9,130,<1.0,<10,810,9.5,
MW-4,6/4/2014,false,false,1.3,140,<1.0,<10,820,9.6,
MW-4,9/16/2014,false,true,,,,,,,No sample collected due to insufficient water in well
MW-4,4/30/2015,false,false,<2.0,150,<1.0,<50,960,7.9,"date printed as ""4/30/3015"" in source - treated as typo for 2015"
MW-4,5/2/2016,false,true,,,,,,,No sample collected due to insufficient water in well
MW-4,4/12/2017,false,false,1.6,160,<2.1,1.3,940,14,
MW-4,4/12/2018,false,false,1.9,160,<6.3,77,760,6.6,
MW-4,4/9/2019,false,false,<4.9,140,<3.6,<32,820,7.0,
MW-4,2/28/2020,false,false,,140,,,930,,row shows Ba and Sr only; other cells printed as ---; not analyzed this round; not a dry well
MW-4,3/11/2021,false,false,,160,,,930,,row shows Ba and Sr only; other cells printed as ---; not analyzed this round; not a dry well
MW-4,3/14/2022,false,true,,,,,,,No sample collected due to insufficient water in well
MW-4,2/21/2023,false,true,,,,,,,No sample collected due to insufficient water in well
MW-5,6/14/2006,false,false,1.8,400,1.4,260,---,8.3,
MW-5,10/5/2006,false,false,2.5,410,<1.0,120,---,10,
MW-5,3/12/2012,false,false,<5.0,340,<5.0,<50,1200,27,
MW-5,3/12/2012 S,true,false,1.3,310,EXCLUDED_LABERR,4.4,1140,25.4,footnote 2 on Pb cell = laboratory error in sample prep; duplicate of 3/12/2012
MW-5,5/17/2012,false,false,2.4,300,<1.0,18,1400,26,
MW-5,7/17/2012,false,false,2.8,280,<1.0,<10,1100,20,
MW-5,9/20/2012,false,false,2.3,280,<1.0,<10,1100,22,
