sample_id,area,boring,depth_interval,analyte,value_raw,unit,value_type,is_nondetect,comment,deeper_than_planned,is_resample,source_table,source_page,source_document
S2E 6-0,Stockpile 2 - East End,,,lead,3.2,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 7-0,Stockpile 2 - East End,,,barium,73,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 7-0,Stockpile 2 - East End,,,lead,2.0,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 8-0,Stockpile 2 - East End,,,barium,"4,100",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 8-0,Stockpile 2 - East End,,,lead,23,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 8A-0,Stockpile 2 - East End,,,barium,63,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 8A-0,Stockpile 2 - East End,,,lead,1.6,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 9-0,Stockpile 2 - East End,,,barium,140,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 9-0,Stockpile 2 - East End,,,lead,2.0,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 10-0,Stockpile 2 - East End,,,barium,110,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 10-0,Stockpile 2 - East End,,,lead,2.3,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 11-0,Stockpile 2 - East End,,,barium,82,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 11-0,Stockpile 2 - East End,,,lead,1.9,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 12-0,Stockpile 2 - East End,,,barium,79,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 12-0,Stockpile 2 - East End,,,lead,1.9,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
,Stockpile 2 - East End,,,barium,"1,000",mg/kg,bcs_removal_verification_threshold,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
,Stockpile 2 - East End,,,lead,80,mg/kg,bcs_removal_verification_threshold,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-0,Stockpile 1 MSE Wall Footing,STK1-1,0,barium,95,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-0,Stockpile 1 MSE Wall Footing,STK1-1,0,lead,3.7,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-1,Stockpile 1 MSE Wall Footing,STK1-1,1,barium,83,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-1,Stockpile 1 MSE Wall Footing,STK1-1,1,lead,3.1,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-2,Stockpile 1 MSE Wall Footing,STK1-1,2,barium,80,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-2,Stockpile 1 MSE Wall Footing,STK1-1,2,lead,2.6,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-3,Stockpile 1 MSE Wall Footing,STK1-1,3,barium,130,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
STK1-1-3,Stockpile 1 MSE Wall Footing,STK1-1,3,lead,2.2,mg/kg,raw_detection,,,,,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
