medium,source_document,location_or_well,analyte,value_type,value,unit,date_or_event,depth_ft,is_background,n_samples,regulatory_limit,limit_type,exceedance_ratio,source_citation,status,notes
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,strontium,min_detected_per_well_all_dates,190.0,ug/L,4/12/2017,,,15,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,strontium,max_detected_per_well_all_dates,840.0,ug/L,7/16/2012,,,15,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.21,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,nitrate_as_n,min_detected_per_well_all_dates,2.1,mg/L,4/12/2018,,,17,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,nitrate_as_n,max_detected_per_well_all_dates,5.4,mg/L,6/13/2006,,,17,10.0,MCL (health-based),0.54,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,arsenic,min_detected_per_well_all_dates,1.3,ug/L,6/4/2014,,,18,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,arsenic,max_detected_per_well_all_dates,9.9,ug/L,10/4/2006,,,18,10.0,MCL,0.99,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,barium,min_detected_per_well_all_dates,100.0,ug/L,10/4/2006,,,20,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,barium,max_detected_per_well_all_dates,160.0,ug/L,3/12/2012,,,20,1000.0,MCL,0.16,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,manganese,min_detected_per_well_all_dates,1.3,ug/L,4/12/2017,,,18,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,manganese,max_detected_per_well_all_dates,88.0,ug/L,3/12/2012,,,18,50.0,Secondary MCL,1.76,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,strontium,min_detected_per_well_all_dates,760.0,ug/L,4/12/2018,,,18,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,strontium,max_detected_per_well_all_dates,980.0,ug/L,9/19/2012,,,18,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.245,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,nitrate_as_n,min_detected_per_well_all_dates,3.5,mg/L,6/13/2006,,,18,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-4,nitrate_as_n,max_detected_per_well_all_dates,14.0,mg/L,4/12/2017,,,18,10.0,MCL (health-based),1.4,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,arsenic,min_detected_per_well_all_dates,1.5,ug/L,4/12/2018,,,16,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,arsenic,max_detected_per_well_all_dates,2.9,ug/L,11/29/2012,,,16,10.0,MCL,0.29,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,barium,min_detected_per_well_all_dates,230.0,ug/L,6/6/2013,,,16,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,barium,max_detected_per_well_all_dates,410.0,ug/L,10/5/2006,,,16,1000.0,MCL,0.41,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,lead,min_detected_per_well_all_dates,0.32,ug/L,4/12/2018,,,16,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,lead,max_detected_per_well_all_dates,1.4,ug/L,6/14/2006,,,16,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.093,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,manganese,min_detected_per_well_all_dates,18.0,ug/L,5/17/2012,,,16,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,manganese,max_detected_per_well_all_dates,260.0,ug/L,6/14/2006,,,16,50.0,Secondary MCL,5.2,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,strontium,min_detected_per_well_all_dates,790.0,ug/L,12/12/2013,,,14,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,strontium,max_detected_per_well_all_dates,1400.0,ug/L,5/17/2012,,,14,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,nitrate_as_n,min_detected_per_well_all_dates,8.3,mg/L,6/14/2006,,,16,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-5,nitrate_as_n,max_detected_per_well_all_dates,40.0,mg/L,4/9/2019,,,16,10.0,MCL (health-based),4.0,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
